,rec_source,data_provider,country_name,country_iso_code,validity_date,attribute,value,unit
0,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Australia,AUS,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",615477.9858152439,kt CO₂ e
1,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Austria,AUT,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",66224.24076499307,kt CO₂ e
2,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Belarus,BLR,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",108472.81586531184,kt CO₂ e
3,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Belgium,BEL,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",142316.7347528023,kt CO₂ e
4,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Bulgaria,BGR,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",80849.65522000303,kt CO₂ e
5,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Canada,CAN,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",544707.2368685248,kt CO₂ e
6,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Croatia,HRV,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",24939.59847875597,kt CO₂ e
7,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Cyprus,CYP,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",5352.055342153001,kt CO₂ e
8,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Czechia,CZE,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",190111.05661566762,kt CO₂ e
9,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Denmark,DNK,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",77606.27868874649,kt CO₂ e
10,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Estonia,EST,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",38085.7497392221,kt CO₂ e
11,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,European Union (Convention),not found,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",5464792.679454734,kt CO₂ e
12,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,European Union (KP),not found,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",5480441.8361043595,kt CO₂ e
13,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Finland,FIN,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",57527.0963618247,kt CO₂ e
14,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,France,FRA,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",525543.0554330513,kt CO₂ e
15,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Germany,DEU,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",1273438.5637417275,kt CO₂ e
16,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Greece,GRC,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",101181.55203116403,kt CO₂ e
17,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Hungary,HUN,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",92111.18273305391,kt CO₂ e
18,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Iceland,ISL,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",12875.095389731017,kt CO₂ e
19,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Ireland,IRL,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",59531.39944709505,kt CO₂ e
20,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Italy,ITA,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",515229.3472047624,kt CO₂ e
21,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Japan,JPN,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",1203671.0964855962,kt CO₂ e
22,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Kazakhstan,KAZ,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",373392.1651120001,kt CO₂ e
23,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Latvia,LVA,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",13567.366483454827,kt CO₂ e
24,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Liechtenstein,LIE,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",235.4742839795173,kt CO₂ e
25,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Lithuania,LTU,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",42341.617989171544,kt CO₂ e
26,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Luxembourg,LUX,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",12812.219395788446,kt CO₂ e
27,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Malta,MLT,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",2602.9778260887356,kt CO₂ e
28,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Monaco,MCO,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",102.73551123363733,kt CO₂ e
29,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Netherlands,NLD,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",225676.3928271836,kt CO₂ e
30,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,New Zealand,NZL,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",41114.77377497106,kt CO₂ e
31,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Norway,NOR,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",39507.379119238474,kt CO₂ e
32,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Poland,POL,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",445550.6391643426,kt CO₂ e
33,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Portugal,PRT,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",60012.99618420991,kt CO₂ e
34,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Romania,ROU,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",221971.67776341445,kt CO₂ e
35,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Russian Federation,RUS,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",3086562.2959197154,kt CO₂ e
36,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Slovakia,SVK,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",63710.11421630042,kt CO₂ e
37,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Slovenia,SVN,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",14168.274340677975,kt CO₂ e
38,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Spain,ESP,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",254004.57468819775,kt CO₂ e
39,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Sweden,SWE,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",34712.51507431025,kt CO₂ e
40,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Switzerland,CHE,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",51615.51845519543,kt CO₂ e
41,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Turkey,TUR,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",163795.20809098342,kt CO₂ e
42,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Ukraine,UKR,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",884223.0093868715,kt CO₂ e
43,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,United Kingdom of Great Britain and Northern Ireland,GBR,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",812970.0690863326,kt CO₂ e
44,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,United States of America,USA,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",5541854.700347109,kt CO₂ e
45,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,,not found,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
46,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Source: UNFCCC GHG Data Interface,not found,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
47,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,not found,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
48,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.,not found,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
49,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,"Note 3: – means ""No data available""",not found,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
50,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",not found,1990,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
