,rec_source,data_provider,country_name,country_iso_code,validity_date,attribute,value,value_units
0,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Australia,AUS,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",425624.30701710563,kt CO2e
1,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Austria,AUT,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",78423.2207298205,kt CO2e
2,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Belarus,BLR,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",145461.61071824637,kt CO2e
3,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Belgium,BEL,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",145686.75703966242,kt CO2e
4,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Bulgaria,BGR,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",98356.81327045384,kt CO2e
5,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Canada,CAN,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",594722.2434196356,kt CO2e
6,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Croatia,HRV,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",31416.284658431883,kt CO2e
7,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Cyprus,CYP,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",5576.487955350355,kt CO2e
8,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Czechia,CZE,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",196955.24224988732,kt CO2e
9,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Denmark,DNK,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",71429.97157280153,kt CO2e
10,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Estonia,EST,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",40175.174742854084,kt CO2e
13,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Finland,FIN,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",71015.76757176757,kt CO2e
14,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,France,FRA,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",547183.2286602077,kt CO2e
15,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Germany,DEU,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",1241919.2336379162,kt CO2e
16,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Greece,GRC,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",103450.64031634766,kt CO2e
17,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Hungary,HUN,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",94820.9221073324,kt CO2e
18,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Iceland,ISL,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",3674.4809076568968,kt CO2e
19,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Ireland,IRL,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",54823.19023832051,kt CO2e
20,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Italy,ITA,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",519907.93652764335,kt CO2e
21,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Japan,JPN,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",1269901.0346811863,kt CO2e
22,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Kazakhstan,KAZ,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",385602.99715756706,kt CO2e
23,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Latvia,LVA,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",25868.251525693595,kt CO2e
24,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Liechtenstein,LIE,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",228.4746535423151,kt CO2e
25,Time_Series_GHG_total_without_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCCC,Lithuania,LTU,1990,"Time Series - GHG total without LULUCF, in kt CO₂ equivalent",47860.896473735535,kt CO2e
